ref;day;month;year;lat;long
147628;26;5;2017;45.91482;4.309179
147837;26;5;2017;46.6309;0.9303966
148092;26;5;2017;43.28597955;0.88769531
148447;26;5;2017;48.429632;6.788077
152220;26;5;2017;47.315094;-3.185741
144971;27;5;2017;48.84459;2.6678193
145500;27;5;2017;45.004738;-1.1695373
145650;27;5;2017;43.75349;1.6658118
145826;27;5;2017;48.208057;-4.3487062
145848;27;5;2017;46.748856;-1.5957248
145912;27;5;2017;43.332592;-1.5928128
146002;27;5;2017;47.411964;-0.74349797
146617;27;5;2017;46.368397;6.124049
146620;27;5;2017;46.472916;0.6133642
148235;27;5;2017;45.591084;6.7691417
145274;28;5;2017;47.748558;6.759985
145678;28;5;2017;49.663125;0.222885
145692;28;5;2017;49.750732;4.9652495
145759;28;5;2017;48.543945;-3.3955436
145946;28;5;2017;48.789752;2.939579
146162;28;5;2017;45.746784;-0.88322425
146221;28;5;2017;48.845744;2.548288
146461;28;5;2017;48.295866;6.688605
146536;28;5;2017;49.06841;6.0460596
147134;28;5;2017;49.195832;0.806579
147437;28;5;2017;49.103307;2.299698
147764;28;5;2017;47.352524;-0.36708814
149122;28;5;2017;49.33172;2.4601314
156011;28;5;2017;48.72756034;0.83995199
146004;29;5;2017;44.072501;5.892854
146044;29;5;2017;48.888366;2.413103
148179;29;5;2017;47.04390116;6.56755185
145099;30;5;2017;50.3258;3.7666078
145679;30;5;2017;47.18992;5.5575514
145965;30;5;2017;49.89032;4.630687
146192;30;5;2017;48.713375;0.85256636
146220;30;5;2017;48.62687;7.7748985
146940;30;5;2017;48.446265;2.602852
147520;30;5;2017;44.40075474;2.6665874
148091;30;5;2017;43.2864462;0.88889694
148093;30;5;2017;43.2880123;0.88803864
148241;30;5;2017;45.552338;5.083154
148785;30;5;2017;48.420871;0.734031
156008;30;5;2017;48.5206385;5.62666511
145083;31;5;2017;48.600063;-0.041375086
145323;31;5;2017;45.901353;6.12658
145481;31;5;2017;46.14091;6.399667
146513;31;5;2017;45.05105;6.116213
146792;31;5;2017;49.231995;0.37467068
146914;31;5;2017;48.423168;7.449085
148094;31;5;2017;43.28754592;0.88829613
148095;31;5;2017;43.27499069;0.88855362
148101;31;5;2017;43.28738753;0.8882103
47593;1;6;2017;48.613152;3.9019931
144946;1;6;2017;45.514095;6.297231
144948;1;6;2017;48.855937;2.184611
144949;1;6;2017;48.855768;2.184513
145045;1;6;2017;43.66698;2.345059
145246;1;6;2017;47.943163;3.187512
145346;1;6;2017;48.547195;2.127693
145487;1;6;2017;47.6732;2.6644075
145501;1;6;2017;47.22437;-1.3116411
145526;1;6;2017;49.26121;0.017139
145827;1;6;2017;41.85571;9.400003
146107;1;6;2017;47.31806;5.034537
146238;1;6;2017;48.585773;-3.6383717
146369;1;6;2017;47.877903;0.21153252
146394;1;6;2017;47.733925;-2.5962849
146664;1;6;2017;48.35857;7.4499245
146712;1;6;2017;43.901512;-0.54764533
146844;1;6;2017;42.946064;1.4537712
146936;1;6;2017;47.547573;1.9961158
147325;1;6;2017;46.78953882;3.97133446
147347;1;6;2017;48.862462;2.158437
147425;1;6;2017;46.125715;1.007771
147461;1;6;2017;49.5814516;1.02254605
147693;1;6;2017;49.286674;-0.1451224
147694;1;6;2017;49.282825;-0.21125916
148097;1;6;2017;43.27358243;0.88855362
148247;1;6;2017;48.61675;6.233812
148549;1;6;2017;48.493668;-4.104354
148572;1;6;2017;48.799879;2.426689
149118;1;6;2017;47.502009;1.674816
151180;1;6;2017;47.136962;0.170069
145866;2;6;2017;47.219024;-0.24969
146878;2;6;2017;48.69678;2.4509647
147721;2;6;2017;47.393417;4.3029375
148096;2;6;2017;43.2842218;0.88881111
148541;2;6;2017;43.123226;-0.19180745
148882;2;6;2017;46.65537504;2.6893968
145359;3;6;2017;48.913856;2.54511
145362;3;6;2017;48.913776;2.54337
145366;3;6;2017;47.47144;-0.4711357
145372;3;6;2017;47.469845;-0.47153035
145374;3;6;2017;47.470173;-0.4714834
146154;3;6;2017;48.006794;-3.6972544
146213;3;6;2017;47.601883;0.81254
146231;3;6;2017;43.446696;2.482944
146420;3;6;2017;48.797733;2.0601037
146505;3;6;2017;45.153046;2.933451
146825;3;6;2017;49.06689;2.176469
147337;3;6;2017;45.705776;0.14053032
148342;3;6;2017;50.494171;2.974756
144953;4;6;2017;46.046886;5.840437
144954;4;6;2017;49.792545;4.656385
145291;4;6;2017;49.424034;1.4095508
145604;4;6;2017;48.85889;7.323361
145649;4;6;2017;48.710011;2.262829
145939;4;6;2017;48.860046;5.5964503
146007;4;6;2017;48.267387;7.3754325
146215;4;6;2017;48.54793;5.0869665
147215;4;6;2017;46.01604;2.2989123
148631;4;6;2017;48.228584;-2.0591285
144989;5;6;2017;47.267744;5.986727
145124;5;6;2017;47.66045;-0.137163
145183;5;6;2017;49.482961;2.579257
145214;5;6;2017;44.42781;5.7164145
145731;5;6;2017;48.807507;2.0023816
146853;5;6;2017;49.643967;-1.52313
147076;5;6;2017;43.581425;3.0154803
147150;5;6;2017;46.750404;1.6949881
147473;5;6;2017;50.42823;3.1771226
147999;5;6;2017;48.64575;6.13393
145113;6;6;2017;48.963805;1.784362
145184;6;6;2017;47.351852;6.3592267
145188;6;6;2017;47.295978;-1.611551
145297;6;6;2017;48.052741;3.674573
145326;6;6;2017;48.616178;1.78789
145490;6;6;2017;49.119774;4.1087003
145695;6;6;2017;49.178585;7.0142946
146076;6;6;2017;48.768269;-0.490507
146610;6;6;2017;48.81651;2.150591
147210;6;6;2017;49.061534;2.682317
148098;6;6;2017;43.2867337;0.88829613
145836;7;6;2017;49.87133;1.777641
146136;7;6;2017;48.67826;1.8174229
146185;7;6;2017;48.8259;1.6405889
146624;7;6;2017;48.248701;7.192483
148099;7;6;2017;43.28155603;0.88863945
148103;7;6;2017;43.26139105;0.88769531
145874;8;6;2017;45.85963;3.0428555
148100;8;6;2017;43.28769992;0.88846779
148444;8;6;2017;45.625244;4.921348
145193;9;6;2017;48.75798;2.1804683
145213;9;6;2017;48.508812;-4.4222903
145411;9;6;2017;48.397955;2.148309
145569;9;6;2017;49.02315;1.3821279
145681;9;6;2017;46.54179;5.1948676
145803;9;6;2017;49.43043;0.7109242
145938;9;6;2017;48.463098;0.789773
146271;9;6;2017;48.75771419;2.24296189
146520;9;6;2017;46.73729;4.4752507
153752;9;6;2017;48.6212765;-4.55053711
170235;9;6;2017;44.72051;-0.416632
144972;10;6;2017;45.679146;0.22840904
144978;10;6;2017;45.759835;4.737764
145002;10;6;2017;42.52431;3.0874894
145006;10;6;2017;42.524277;3.0874872
145033;10;6;2017;47.92448;6.8623943
145044;10;6;2017;48.66149;2.663702
145075;10;6;2017;49.189293;2.4648464
145428;10;6;2017;44.389107;0.67763364
145579;10;6;2017;48.926083;2.1130817
145664;10;6;2017;48.877907;3.2695222
145870;10;6;2017;48.40239;-2.309957
146051;10;6;2017;49.64772;1.13686
146227;10;6;2017;48.61077;7.801378
146230;10;6;2017;44.57887;6.2295003
146285;10;6;2017;47.585865;6.827101
146371;10;6;2017;45.079247;5.8381286
146504;10;6;2017;44.86226;2.984536
146711;10;6;2017;43.90147;-0.54770875
146901;10;6;2017;47.960884;6.806959
147799;10;6;2017;47.325602;1.119224
149177;10;6;2017;48.65237648;2.25472069
151010;10;6;2017;48.71602;1.8999045
151360;10;6;2017;43.46045;2.3394675
155060;10;6;2017;47.53976923;-2.81799923
156268;10;6;2017;48.803478;6.266752
158924;10;6;2017;48.76058;2.6215913
144960;11;6;2017;48.841875;2.319628
145085;11;6;2017;47.49442;6.7618885
145105;11;6;2017;49.117107;2.6569436
145132;11;6;2017;44.891842;-0.705475
145166;11;6;2017;48.74273;2.7364326
145209;11;6;2017;47.827803;7.246235
145595;11;6;2017;48.76722;2.5795217
145599;11;6;2017;48.76634;2.5780323
145714;11;6;2017;48.83028;1.3644495
145720;11;6;2017;48.734722;1.7406917
145721;11;6;2017;48.734467;1.7443894
